Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
NaCl,Pan2021,experimental,2.85,1000.0,0.901,5.96,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,0.85,800.0,0.7708722401031962,6.43,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,0.85,1000.0,0.901,5.31,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-3.15,800.0,0.7692618944932638,5.22,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-2.15,1000.0,0.901,4.49,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-7.15,800.0,0.7676618789159123,4.32,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,1000.0,0.901,3.74,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-10.15,800.0,0.7664685940103413,3.74,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-9.15,1000.0,0.901,0.00032,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-13.15,800.0,0.765281034569822,3.4,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-11.15,1000.0,0.901,0.000126,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-16.15,800.0,0.7640991646264242,2.4,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-13.15,1000.0,0.901,8.17e-05,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-19.15,800.0,0.901,1.82,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-9.15,1000.0,0.901,0.000403,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
