Salt,Temperature_C,Molality_molkg,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
MgCl2,35.0,0.000984,1.0000000031765898e-16,0.0019680000062515285,1.0000000031765898e-16,0.0009839569957167881,1.0000000031765921e-16,1.0000000031765898e-16,1.0000000031765898e-16,1.0000000031765898e-16,0.002952090315029492,0.002952
MgCl2,45.0,0.000984,1.0000000045077408e-16,0.001968000008871234,1.0000000045077408e-16,0.0009839314359969588,1.0000000045077434e-16,1.0000000045077408e-16,1.0000000045077408e-16,1.0000000045077408e-16,0.00295211308407049,0.002952
MgCl2,70.0,0.000984,1.0000000097065046e-16,0.001968000019102401,1.0000000097065046e-16,0.00098380122433398,1.0000000097065055e-16,1.0000000097065046e-16,1.0000000097065046e-16,1.0000000097065046e-16,0.0029521412295621416,0.002952
MgCl2,90.0,0.000984,1.0000000164621568e-16,0.001968000032397525,1.0000000164621568e-16,0.000983577679097505,1.0000000164621584e-16,1.0000000164621568e-16,1.0000000164621568e-16,1.0000000164621568e-16,0.0029520691264421075,0.002952
MgCl2,5.0,0.01137,1.0000000014884397e-16,0.02274000003384712,1.0000000014884397e-16,0.011369948142412158,1.0000000014884401e-16,1.0000000014884397e-16,1.0000000014884397e-16,1.0000000014884397e-16,0.034109978919408805,0.03411
MgCl2,10.0,0.01137,1.0000000019010417e-16,0.022740000043229687,1.0000000019010417e-16,0.011369932570231717,1.0000000019010421e-16,1.0000000019010417e-16,1.0000000019010417e-16,1.0000000019010417e-16,0.0341099706817214,0.03411
MgCl2,25.0,0.01137,1.0000000037495684e-16,0.022740000085265184,1.0000000037495684e-16,0.011369858797973437,1.0000000037495688e-16,1.0000000037495684e-16,1.0000000037495684e-16,1.0000000037495684e-16,0.034109925762925736,0.03411
MgCl2,35.0,0.01137,1.0000000056661678e-16,0.022740000128848657,1.0000000056661678e-16,0.011369777480153847,1.0000000056661702e-16,1.0000000056661678e-16,1.0000000056661678e-16,1.0000000056661678e-16,0.03410986953227557,0.03411
MgCl2,45.0,0.01137,1.0000000083305119e-16,0.022740000189435842,1.0000000083305119e-16,0.011369659026845932,1.0000000083305119e-16,1.0000000083305119e-16,1.0000000083305119e-16,1.0000000083305125e-16,0.03410978054361298,0.03411
MgCl2,70.0,0.01137,1.0000000197441489e-16,0.022740000448981945,1.0000000197441489e-16,0.01136911279663118,1.0000000197441489e-16,1.0000000197441489e-16,1.0000000197441489e-16,1.0000000197441492e-16,0.034109321740755184,0.03411
MgCl2,90.0,0.01137,1.0000000361687575e-16,0.022740000822477548,1.0000000361687575e-16,0.011368274576434393,1.0000000361687575e-16,1.0000000361687575e-16,1.0000000361687575e-16,1.0000000361687582e-16,0.034108557155006027,0.03411
MgCl2,5.0,0.09942,1.0000000032284279e-16,0.1988400006419406,1.0000000032284279e-16,0.09941984040433788,1.0000000032284279e-16,1.0000000032284279e-16,1.0000000032284279e-16,1.0000000032284305e-16,0.2982598603274671,0.29825999999999997
MgCl2,10.0,0.09942,1.0000000041459965e-16,0.1988400008243899,1.0000000041459965e-16,0.09941979407081707,1.0000000041459965e-16,1.0000000041459965e-16,1.0000000041459965e-16,1.0000000041459974e-16,0.29825981868240686,0.29825999999999997
MgCl2,25.0,0.09942,1.0000000083288276e-16,0.19884000165610402,1.0000000083288276e-16,0.09941957980714333,1.0000000083288276e-16,1.0000000083288276e-16,1.0000000083288276e-16,1.0000000083288279e-16,0.2982596227440411,0.29825999999999997
MgCl2,35.0,0.09942,1.0000000127475677e-16,0.19884000253472636,1.0000000127475677e-16,0.09941934997895081,1.0000000127475677e-16,1.0000000127475677e-16,1.0000000127475677e-16,1.0000000127475702e-16,0.29825940879452,0.29825999999999997
MgCl2,45.0,0.09942,1.0000000189747251e-16,0.19884000377293432,1.0000000189747251e-16,0.09941902241804469,1.0000000189747251e-16,1.0000000189747251e-16,1.0000000189747251e-16,1.000000018974726e-16,0.2982590999377626,0.29825999999999997
MgCl2,70.0,0.09942,1.0000000461684721e-16,0.19884000918013897,1.0000000461684721e-16,0.09941756722815887,1.0000000461684721e-16,1.0000000461684721e-16,1.0000000461684721e-16,1.000000046168473e-16,0.2982577016836076,0.29825999999999997
MgCl2,90.0,0.09942,1.0000000857975382e-16,0.19884001705998247,1.0000000857975382e-16,0.09941541543104335,1.0000000857975382e-16,1.0000000857975382e-16,1.0000000857975382e-16,1.0000000857975405e-16,0.29825560168882403,0.29825999999999997
MgCl2,5.0,0.3609,1.0000000061751955e-16,0.7218000044572561,1.0000000061751955e-16,0.36089967176362636,1.0000000061751955e-16,1.0000000061751955e-16,1.0000000061751955e-16,1.000000006175198e-16,1.082699688517621,1.0827
MgCl2,10.0,0.3609,1.0000000079381245e-16,0.7218000057297382,1.0000000079381245e-16,0.36089957742081097,1.0000000079381245e-16,1.0000000079381245e-16,1.0000000079381245e-16,1.0000000079381268e-16,1.0826995983217487,1.0827
